"CODIGO__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NIVEL_RIESGO__C","NOMBRE_LARGO__C","OWNERID","SYSTEMMODSTAMP"
"EDU413","00522000004MjvzAAC","2022-12-12T01:05:04.000Z","COP","a8d220000000klgAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:04.000Z","","","Educacion tecnica profesional  incluye  formacion que capacita para trabajos que","1.0","Educacion tecnica profesional  incluye  formacion que capacita para trabajos que requieran conocimientos tecnicos y competencias en areas especificas de los sectores de la produccion  el requisito de haber culminado el noveno grado de la educacion basica o tener el titulo de bachiller y la prueba Icfes, La formacion en instituciones   tecnicas   profesionales    impartida   en   instituciones   facultadas legalmente para ofrecer programas de formacion en ocupaciones de caracter operativo e instrumental y de especializacion en su respectivo campo de accion","00522000004MjvzAAC","2022-12-12T01:05:04.000Z"
"ACT071","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khyAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la agricultura  incluye al almacenamiento y deposito de c","2.0","Actividades de apoyo a la agricultura  incluye al almacenamiento y deposito de cafe.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT072","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khzAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la agricultura  incluye el mantenimiento de tierras para","2.0","Actividades de apoyo a la agricultura  incluye el mantenimiento de tierras para usos agricolas  explotacion de equipo de riego agricola  control de plagas en relacion con la agricultura  fumigacion de cultivos.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT073","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki0AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la agricultura  incluye la fumigacion y fertilizacion aer","0.0","Actividades de apoyo a la agricultura  incluye la fumigacion y fertilizacion aerea.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT075","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki2AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la agricultura  las actividades agricolas a cambio de una","2.0","Actividades de apoyo a la agricultura  las actividades agricolas a cambio de una retribucion   o   por   contrata    incluye   las   actividades   agricolas   como: acondicionamiento de terrenos  tratamiento de cultivos  plantacion o siembra de cultivos  transplante de arroz  cosecha  poda de arboles frutales y vinas","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT076","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki3AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la ganaderia  incluye inspeccion sanitaria  castracion de","2.0","Actividades de apoyo a la ganaderia  incluye inspeccion sanitaria  castracion de aves de corral  servicios de sementales  inseminacion artificial.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT077","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki4AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo a la ganaderia  incluye servicios de arreo y pastoreo de ga","2.0","Actividades de apoyo a la ganaderia  incluye servicios de arreo y pastoreo de ganado  limpieza de gallineros  etcetera  esquilado de ovejas  actividades de herradores.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT078","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki5AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo diagnostico  incluye las actividades relacionadas con la sa","3.0","Actividades de apoyo diagnostico  incluye las actividades relacionadas con la salud  humana   realizadas  por  unidades  independientes  a  las  instituciones prestadoras de servicios de salud con internacion  de laboratorios de analisis de sangre  asi como laboratorios de medicina forense y Laboratorios de radiologia y otros centros de diagnosticos por imagen","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT079","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki6AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye la","0.0","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye la licuefaccion y la regasificacion de gas natural.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT080","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki7AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye lo","0.0","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye los servicios de drenaje y de bombeo y sondeos para la extraccion de petroleo o gas.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT083","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki8AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye, l","0.0","Actividades de apoyo para la extraccion de petroleo y de gas natural  incluye, la perforacion dirigida y la reperforacion  la perforacion inicial  la ereccion  reparacion y desmantelamiento de torres de perforacion  la cementacion de los tubos de encamisado de los pozos de petroleo y de gas, el bombeo de los pozos  el taponamiento y abandono de pozos  etc.","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT084","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000ki9AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo para otras actividades de explotacion de minas y canteras a","0.0","Actividades de apoyo para otras actividades de explotacion de minas y canteras a cambio de una retribucion o por contrata  necesario para las actividades mineras de  las  divisiones  de  extraccion  de  carbon  de  piedra  y  lignito   extraccion  de minerales metaliferos y extraccion de otras minas y canteras  incluye los servicios de exploracion, por ejemplo  metodos de prospeccion tradicionales  como la toma de muestras y la realizacion de observaciones geologicas en posibles sitios de explotacion","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT085","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000kiAAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo para otras actividades de explotacion de minas y canteras","0.0","Actividades de apoyo para otras actividades de explotacion de minas y canteras  a cambio de una retribucion o por contrata Incluye los servicios de drenaje  bombeo y pruebas de perforacion y sondeo","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT086","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000kiBAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades de apoyo terapeutico  incluye las actividades de bancos de sangre  b","4.0","Actividades de apoyo terapeutico  incluye las actividades de bancos de sangre  bancos de esperma  bancos de organos para transplantes  etc  incluye tambien las unidades renales","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
